date,Dining Room,Bathroom,Kitchen,Toliet,Desk,Bed,Living Room,Garage,Balcony,Family Room,Home Office,Laundry Room,Mudroom,Chair,Playroom,Basement,Petroom,Coffee room,Children room,Family Room,Car room,Light room,Classroom,Nurse Room,VR Room,Mining Room,VC Room,Storage,Hall,The Pound,Window Room,Playground,Workout Room,Master Bedroom, Entry Room,Great Room ,Trade Room,Study Room,Painting Room,Bedroom
20040401,,2,2,,,,14,,9,29,2,23,14,,1,,10,17,,29,,,24,1,,2,10,,6,1,,2,,2,,2,,,,22
20040501,,1,1,,,,18,,8,33,1,23,21,,2,,10,19,,36,,,28,1,1,2,10,,9,1,,1,,1,0,2,,,,22
20040601,,1,1,,,,5,,12,25,1,25,32,,1,,6,23,,23,,,31,1,1,2,10,,12,2,,1,,2,,2,,,,26
20040701,,1,1,,,,3,,9,35,2,26,20,,1,,9,30,,22,,,29,1,1,2,11,,14,1,,2,,3,,2,,,,24
20040801,,1,1,,,,3,,10,31,2,25,17,,1,,10,32,,24,,,28,1,1,3,10,,18,1,,2,,3,,2,1,,,26
20040901,,,,,,,15,,12,4,,21,18,,,,8,19,,30,,,30,1,,4,11,,30,,,,,,,,,,,20
20041001,,,,,,,10,,12,5,,23,17,,,,10,19,,30,,,22,2,,4,7,,20,,,,,,,,,,,19
20041101,,,,,,,8,,14,3,,25,15,,,,8,29,,39,,,23,2,,4,10,,22,,,,,,,,,,,26
20041201,,,,,,,7,,12,4,,24,15,,,,9,23,,46,,,25,1,,5,11,,19,,,,,,,,,,,20
20050101,,,,,,,6,,9,3,,24,12,,,,8,26,,49,,,25,2,,3,9,,21,,,,,,,,,,,18
20050201,,,,,,,6,,12,4,,26,14,,,,11,29,,32,,,27,1,,5,10,,18,,,,,,,,,,,20
20050301,,3,3,,,,9,,14,3,3,24,13,,,,10,24,,22,,,31,2,1,5,12,,19,1,,3,,8,,2,4,,,26
20050501,,,,,,,9,,10,7,,24,14,,,,14,17,,17,,,34,2,,5,12,,17,,,,,,,,,,,24
20050601,,,,,,,10,,13,7,,28,12,,,,14,24,,12,,,36,2,,6,12,,18,,,,,,,,,,,24
20050701,,,,,,,3,,16,5,,31,14,,,,10,25,,13,,,35,2,,7,12,,21,,,,,,,,,,,23
20050801,,,,,,,5,,18,5,,17,13,,,,7,16,,11,,,31,5,,9,12,,28,,,,,,,,,,,25
20050901,,,,,,,7,,18,4,,17,13,,,,8,15,,11,,,34,4,,9,11,,30,,,,,,,,,,,27
20051001,,,,,,,11,,15,3,,16,15,,,,8,17,,13,,,29,1,,8,11,,35,,,,,,,,,,,24
20051101,,,,,,,16,,13,5,,19,12,,,,,23,,10,,,29,1,,12,,,23,,,,,,,,,,,30
20060101,,,,,,,11,,19,6,,16,12,,,,7,17,,10,,,34,1,,16,13,,17,,,,,,,,,,,31
20060201,,,,,,,4,,24,5,,16,14,,,,8,21,,10,,,35,2,,11,14,,14,,,,,,,,,,,32
20060301,,,,,,,3,,20,6,,15,14,,,,10,21,,,,,40,3,,9,9,,22,,,,,,,,,,,33
20060401,,,,,,,4,,20,6,,14,14,,,,10,19,,,,,38,3,,11,13,,14,,,,,,,,,,,35
20060501,,,,,,,5,,26,5,,18,11,,,,10,17,,,,,34,3,,11,13,,9,,,,,,,,,,,38
20060601,,3,3,,,,4,,19,7,3,21,13,,,,14,15,,6,,,31,2,3,11,15,,5,1,,3,,2,,1,0,,,41
20060701,,2,2,,,,4,,21,7,4,21,15,,,,8,14,,5,,,39,3,5,13,20,,11,2,,8,,3,,2,,,,36
20060801,,4,4,,,,6,,25,6,5,14,15,,,,9,9,,5,,,38,3,6,13,16,,10,1,,3,,3,,2,2,,,42
20061001,,,,,,,8,,24,5,,16,14,,,,9,11,,,,,36,7,,13,15,,,,,,,,,,2,,,44
20061101,,,,,,,4,,29,7,,15,15,,,,10,11,,,,,34,15,,12,13,,,,,,,,,,1,,,48
20061201,,3,3,,,,5,,28,7,4,13,16,,,,11,9,1,7,,,41,3,4,15,13,,,2,,4,,5,,3,2,,,48
20070101,,3,3,,,,4,,34,7,6,8,14,,,,10,7,2,8,,,35,3,4,17,12,,,1,,2,,5,,3,2,,,49
20070401,,4,4,,,,2,,23,6,5,8,15,,,,8,5,1,9,,,44,3,4,13,13,,,1,,2,,5,,2,1,,,53
20070501,,5,5,,,,3,,20,6,4,8,15,,,,8,6,2,13,,,50,4,4,13,17,,,1,,2,,7,,3,2,,,53
20070601,,6,6,,,,2,,27,5,4,7,14,,,,9,5,2,2,,,60,15,4,12,11,,,1,,2,,4,,4,2,,,56
20070701,,,,,,,4,,17,5,,7,13,,,,5,3,,1,,,59,2,,12,7,,,,,,,,,,3,,,49
20070801,,5,5,,,,1,,15,7,3,6,14,,,,6,2,1,1,,,64,1,4,13,6,,,1,,1,,3,,1,1,,,45
20070901,,,,,,,1,,16,9,,6,18,,,,9,5,,,,,52,2,,20,8,,,,,,,,,,1,,,57
20071001,,,,,,,1,,20,8,,10,19,,,,9,5,,,,,32,3,,15,7,,,,,,,,,,1,,,58
20071201,,,,,,,1,,19,10,,13,15,,,,8,5,,,,,22,1,,18,8,,,,,,,,,,1,,,60
20080101,,,,,,,2,,20,9,,9,16,,,,9,4,,,,,21,1,,19,6,,,,,,,,,,1,,,63
20080201,,6,6,,,,2,,27,10,5,9,16,,,,8,6,,2,,,19,1,6,17,6,,,,,2,,4,,2,2,,,65
20080301,,,,,,,1,,17,13,,8,24,,,,7,4,,,,,28,1,,16,7,,,,,,,,,,1,,,68
20080401,,,,,,,1,,19,9,,5,17,,,,7,3,,,,,19,1,,21,8,,,,,,,,,,1,,,75
20080501,,,,,,,1,,17,9,,6,14,,,,7,5,,,,,20,,,20,9,,,,,,,,,,1,,,76
20080601,,,,,,,2,,18,9,,7,12,,,,7,8,,,,,19,1,,16,8,,,,,,,,,,1,,,77
20080701,,,,,,,2,,17,10,,7,11,,,,6,3,,,,,17,,,19,10,,,,,,,,,,2,,,75
20080801,,,,,,,2,,13,19,,,13,,,,8,8,,,,,17,1,,26,9,,,,,,,,,,1,,,78
20080901,,,,,,,2,,16,7,,,11,,,,5,6,,,,,18,1,,22,6,,,,,,,,,,1,,,73
20081001,,,,,,,1,,14,8,,,12,,,,7,9,,,,,18,1,,26,5,,,,,,,,,,1,,,77
20081101,,,,,,,1,,17,7,,,11,,,,6,7,,,,,19,2,,22,4,,,,,,,,,,1,,,78
20081201,,,,,,,1,,17,7,,,12,,,,,7,,,,,15,2,,17,,,,,,,,,,,1,,,80
20090101,,,,,,,2,,14,7,,,12,,,,7,6,,,,,16,2,,17,4,,,,,,,,,,1,,,78
20090201,,,,,,,2,,15,9,,,15,,,,5,9,,,,,19,2,,26,5,,,,,,,,,,2,,,83
20090401,,,,,,,1,,13,7,,,16,,,,8,8,,,,,18,1,,29,5,,,,,,,,,,1,,,84
20090501,,,,,,,3,,17,20,,,12,,,,6,8,,,,,14,3,,15,4,,,,,,,,,,1,,,79
20090601,,,,,,,3,,17,4,,,12,,,,12,11,,,,,14,3,,15,6,,,,,,,,,,3,,,86
20090701,,,,,,,2,,13,4,,,15,,,,9,11,,,,,15,2,,14,5,,,,,,,,,,5,,,82
20090801,,,,,,,2,,17,7,,,12,,,,6,9,,,,,15,3,,21,6,,,,,,,,,,3,,,84
20091001,,,,,,,2,,21,5,,,8,,,,,10,,,,,10,2,,21,,,,,,,,,,,3,,,82
20091101,,,,,,,2,,25,4,,,9,,,,6,11,,,,,13,2,,15,6,,,,,,,9,,,3,,,82
20100201,,,,,,,1,,29,6,,,10,,,,5,12,,,,,12,1,,15,6,,,,,,,17,,,3,,,85
20100301,,,,,,,2,,19,7,,,10,,,,6,10,,,,,13,1,,18,6,,,,,,,12,,,3,,,83
20100401,,,,,,,2,,16,6,,,10,,,,7,15,,,,,16,2,,18,6,,,,,,,5,,,4,,,83
20100501,,,,,,,3,,17,7,,,11,,,,,15,,,,,15,2,,15,,,,,,,,,,,5,,,80
20100601,,,,,,,4,,20,7,,,11,,,,5,20,,,,,16,1,,15,11,,,,,,,6,,,5,,,78
20100701,,,,,,,3,,15,7,,,12,,,,4,17,,,,,16,2,,17,6,,,,,,,4,,,5,,,85
20100801,,,,,,,3,,12,6,,,11,,,,5,17,,,,,18,1,,19,6,,,,,,,4,,,9,,,85
20100901,,,,,,,2,,13,5,,,10,,,,5,22,,,,,16,2,,21,10,,,,,,,2,,,7,,,85
20101001,,,,,,,3,,8,9,,,10,,,,7,28,,,,,13,2,,20,8,,,,,,,2,,,26,,,79
20101101,,,,,,,4,,10,7,,,8,,,,3,15,,,,,9,2,,24,7,,,,,,,2,,,26,,,82
20101201,,,,,,,4,,12,7,,,10,,,,,14,,,,,9,3,,22,,,,,,,,,,,36,,,79
20110101,,,,,,,4,,11,6,,,8,,,,3,18,,,,,9,4,,20,6,,,,,,,3,,,40,,,73
20110201,,,,,,,5,,12,7,,,6,,,,3,18,,,,,8,7,,22,7,,,,,,,2,,,41,,,75
20110301,,,,,,,5,,10,7,,,7,,,,3,21,,,,,10,2,,22,5,,,,,,,3,,,39,,,70
20110401,,,,,,,8,,12,9,,,7,,,,4,19,,,,,11,6,,25,5,,,,,,,5,,,35,,,71
20110501,,,,,,,15,,10,8,,,9,,,,4,17,,,,,10,2,,29,7,,,,,,,4,,,29,,,73
20110601,,,,,,,8,,12,11,,,8,,,,5,16,,,,,12,3,,30,5,,,,,,,6,,,15,,,76
20110701,,,,,,,11,,11,11,,,9,,,,5,21,,,,,14,3,,29,7,,,,,,,4,,,10,,,81
20110801,,,,,,,8,,9,13,,,10,,,,4,18,,,,,15,3,,39,7,,,,,,,3,,,4,,,80
20110901,,,,,,,9,,9,13,,,8,,,,5,19,,,,,14,6,,41,7,,,,,,,3,,,6,,,79
20111001,,,,,,,5,,10,14,,,8,,,,5,22,,,,,26,3,,30,7,,,,,,,4,,,4,,,78
20111101,,,,,,,4,,16,14,,,8,,,,3,19,,,,,17,4,,30,5,,,,,,,4,,,3,,,80
20111201,,,,,,,4,,15,11,,,9,,,,5,23,,,,,14,3,,22,6,,,,,,,4,,,4,,,82
20120101,,,,,,,6,,15,13,,,10,,,,4,21,,,,,11,2,,26,6,,,,,,,4,,,4,,,79
20120201,,,,,,,8,,9,15,,,9,,,,4,21,,,,,11,1,,30,8,,,,,,,3,,,5,,,86
20120301,,,,,,,6,,9,10,,,11,,,,6,25,,,,,10,3,,29,6,,,,,,,4,,,8,,,83
20120401,,,,,,,6,,8,8,,,8,,,,5,24,,,,,6,3,,24,8,,,,,,,3,,,7,,,83
20120501,,,,,,,6,,10,14,,,8,,,,5,29,,,,,11,4,,,5,,,,,,,5,,,6,,,87
20120601,,,,,,,4,,10,13,,,,,,,,34,,,,,,3,,,,,,,,,,,,,9,,,85
20120701,,,,,,,4,,13,11,,,,,,,,32,,,,,,3,,,,,,,,,,,,,11,,,87
20120801,,,,,,,23,,32,,,,24,,,,15,69,,,,,23,12,,,,,,,,,,14,,,53,,,51
20120901,,,,,,,15,,19,,,,18,,,,12,65,,,,,12,11,,,7,,,,,,,9,,,55,,,41
20121001,,,,,,,14,,41,,,,17,,,,16,68,,,,,17,18,,,,,,,,,,16,,,56,,,53
20121101,,,,,,,9,,14,,,,9,,,,9,66,,,,,15,5,,,,,,,,,,10,,,73,,,31
20121201,,,,,,,9,,23,,,,15,,,,12,63,,,,,11,7,,,,,,,,7,,27,,,25,,,55
20130101,,,,,,,,,,,,,12,,,,9,64,,,,,10,7,,,7,,,,,,,16,,,30,,,50
20130201,,,,,,,10,,9,,,,5,,,,27,81,,,,,2,6,,,8,,,,,,,5,,,18,,,8
20130301,,,,,,,19,,8,,,,12,,,,23,82,,,,,3,6,,,10,,,,,,,7,,,22,,,
20130401,7,1,1,,,,7,1,15,5,4,52,13,,,,9,14,,2,6,7,27,,,1,10,7,3,1,11,1,6,29,1,6,,3,,28
20130501,4,1,1,,,,9,1,14,9,4,52,14,,,,11,13,,3,8,7,19,,,1,11,4,4,1,14,1,5,26,1,4,,3,,27
20130601,8,,1,,,,6,2,18,4,5,52,12,,,,9,14,,3,7,7,21,,,1,10,4,5,1,11,1,5,22,1,2,,2,,23
20130701,6,,1,,,,6,1,19,5,3,55,11,,,,11,17,,3,7,7,15,,,1,8,5,4,1,13,1,5,22,1,4,,2,,30
20130801,6,,1,,,,6,2,17,6,3,55,14,,,,10,16,,4,8,7,20,0,,,9,5,5,1,13,1,4,19,1,2,,4,,33
20130901,9,,1,,,,5,3,18,6,5,52,10,1,,,10,17,,4,8,6,19,,,1,9,6,6,2,11,1,5,21,1,2,1,4,,32
20131001,6,,1,,,,3,1,17,5,5,54,13,1,,,11,17,,5,8,8,20,0,,,8,7,2,1,12,2,5,20,1,4,,5,,34
20131101,6,,,,,,5,1,14,7,4,61,11,,,,8,15,,4,5,9,18,0,,1,8,4,3,2,10,1,6,23,1,4,,5,,35
20131201,6,,1,0,,,5,1,18,9,4,59,14,,,,7,14,,3,7,8,22,,,1,10,6,4,2,11,2,4,26,1,5,1,4,,34
20140101,4,1,,,,,8,1,14,7,3,58,11,,,,7,15,,3,6,7,16,,,,7,4,3,2,10,2,4,19,1,3,1,4,,37
20140201,7,1,1,,,,6,1,15,6,3,61,13,,,,6,19,,3,8,8,16,,,1,9,8,3,2,9,1,3,20,1,4,1,4,,34
20140301,6,1,2,,,,4,1,20,9,6,55,15,,,,8,18,,3,7,6,20,,,1,8,15,3,1,10,2,4,21,1,5,,3,,40
20140401,4,,1,,,,5,1,18,9,4,57,13,,,,6,12,,2,5,7,22,,,1,7,13,3,2,8,1,3,23,2,3,,4,,36
20140501,4,,1,,,,7,1,20,9,4,64,13,,,,6,12,,2,6,6,22,,,1,8,6,2,1,7,,4,24,2,2,,2,,38
20140601,5,,,,,,9,2,21,7,5,61,13,,,,8,12,,3,6,7,17,,,1,7,6,3,1,10,1,3,20,1,3,1,3,,33
20140701,4,,1,,,,7,2,19,8,5,66,15,,,,7,15,,2,6,7,17,,,1,10,8,4,2,10,1,5,22,1,4,1,3,,33
20140801,5,,1,,,,8,2,23,9,6,62,15,,,,6,15,,2,4,7,16,,,1,8,9,4,2,8,,3,23,,4,,2, ,32
20140901,3,,1,,,,4,1,24,10,5,68,16,,,,6,12,,3,4,5,21,1,,1,7,5,3,2,9,1,5,24,1,3,1,2,,30
20141001,5,,1,,,,3,1,29,13,7,59,16,,,,9,13,,2,7,11,17,0,,1,8,6,4,1,9,1,6,21,1,4,,2,,30
20141101,5,,1,,,,4,1,31,11,5,61,16,,,,6,15,,3,3,6,17,,,,9,5,3,2,8,1,4,23,,3,,2,,26
20141201,8,1,1,,,,4,1,17,13,3,57,15,,,,5,15,,1,5,6,19,,,1,10,7,5,1,8,1,5,27,,4,1,1,,29
20150101,6,,,,,,3,1,22,15,4,51,14,,,,8,14,,3,6,6,26,,,1,8,7,5,2,7,1,5,31,1,4,,2,,28
20150201,3,,1,,,,3,2,17,18,3,55,20,,,,8,11,,2,4,6,26,,,2,7,11,3,2,6,1,6,26,1,4,,3,,27
20150301,4,,1,,,,2,2,22,22,4,62,14,,,,5,16,,3,5,5,20,0,,2,9,9,4,1,7,1,6,17,,6,,3,,24
20150401,4,,,1,,,4,1,18,16,4,54,17,,,,6,18,,4,5,6,19,,,1,6,15,4,2,8,2,5,26,1,7,1,3,,25
20150501,,,1,1,,,3,1,23,12,5,60,16,,,,6,16,,3,5,5,19,,,1,6,8,5,3,6,2,6,25,,6,,2,,28
20150601,,,,2,,,4,,22,14,6,60,21,,,0,6,14,,4,5,7,19,1,,2,7,8,7,2,8,1,6,26,1,7,1,2,,27
20150701,,,,,,,3,1,18,15,5,61,21,,,,7,12,,4,6,6,18,,,1,9,4,4,2,9,1,6,25,1,4,1,2,,27
20150801,,1,1,,,,4,1,23,17,4,54,15,,,1,8,11,,3,5,6,18,0,,1,11,2,5,2,7,,6,27,,6,,1,,28
20150901,,,1,,,,2,1,23,16,6,59,18,1,,,5,11,,4,5,7,21,1,,1,10,3,6,2,8,1,6,27,,5,,2,,29
20151001,,,1,,,,2,1,24,12,5,57,18,,,,7,13,,3,5,6,19,,,1,9,4,4,,8,1,5,31,,5,,1,,26
20151101,,,1,,,,1,1,19,17,5,61,18,,,,6,12,,4,4,6,18,,,1,10,3,6,2,7,1,5,30,,4,1,2,,24
20151201,,,,,,,2,1,24,15,7,63,17,,,,6,10,,3,5,6,16,,,1,7,3,5,1,9,,3,28,,4,,1,,26
20160101,,,1,1,,,2,1,26,12,7,65,16,,,,6,8,,3,5,4,19,,,1,5,4,5,2,6,1,3,29,1,5,0,2,,21
20160201,,1,1,,,,6,1,20,11,5,71,23,,,,5,9,,4,5,6,22,,,2,10,6,5,3,6,1,5,38,1,7,,3,,22
20160301,,,,,,,3,1,25,11,7,55,21,,,,5,11,,4,4,8,24,,,1,7,7,5,2,6,,4,29,,6,,3,,24
20160401,,,,,,,4,1,25,14,8,55,19,,,,5,8,,4,5,8,20,,,1,7,4,6,2,7,1,4,33,0,5,,3,,21
20160501,,,,,,,2,1,25,19,4,48,14,,,,5,8,,3,5,9,17,0,,1,5,2,7,1,8,,4,29,1,4,0,2,,20
20160601,,0,,1,,,3,1,24,25,3,49,12,,,,5,9,,2,3,11,20,,,1,5,2,8,1,7,1,4,33,,3,,2,,27
20160701,,,,1,,,3,,26,15,4,52,14,0,,,5,10,,3,4,9,16,,,1,6,2,9,1,6,,2,24,,2,,1,,22
20160801,,,,4,,,2,,32,17,7,54,12,,,,5,9,,2,1,10,16,0,,,3,1,5,1,6,,3,25,,2,,1,,30
20160901,,,,6,,,2,,24,20,4,55,11,0,,,7,8,,2,4,6,24,0,,,4,4,8,1,6,,2,27,1,3,0,1,,25
20161001,,,,1,,,4,1,28,10,10,54,12,1,,,8,12,,6,3,11,16,,,2,5,4,9,1,7,1,5,25,1,4,0,2,,28
20161101,,,1,1,,,5,,30,7,5,59,12,,,,8,10,,4,3,14,13,,,1,3,1,8,2,6,,4,30,1,3,,2,,20
20161201,,,,1,,,1,1,28,9,5,65,13,,,,6,13,,2,3,8,15,0,,1,4,2,8,1,8,,3,29,,3,,1,,23
20170101,,,,,,,1,,32,10,4,67,11,,,0,8,12,,3,2,9,12,0,,1,3,1,7,2,5,1,3,25,1,2,0,2,,23
20170201,,,,,,,1,1,34,11,5,70,10,,,,6,13,,2,2,7,14,0,,1,3,2,6,3,5,1,3,21,,2,,2,,24
20170301,,,1,0,,,1,1,35,13,6,66,10,0,,,7,17,,2,3,7,12,0,,1,4,2,6,3,8,,1,22,,2,,2,,15
20170401,,,,0,,,2,,38,13,5,62,9,0,,,8,18,,2,3,8,13,,,1,4,3,7,2,6,,2,22,,3,,2,,15
20170501,,,,,,,1,1,33,10,6,58,12,,,,7,21,,2,4,7,18,,,0,4,4,6,2,8,1,3,27,,3,0,2,,14
20170601,,,,,,,1,1,40,12,7,55,12,,,,9,22,,3,4,7,17,0,,1,5,8,8,1,7,1,3,27,1,6,,1,,11
20170701,,1,1,1,,,3,1,47,15,7,41,12,0,,,13,26,,3,4,9,15,,,1,4,10,7,,6,,2,25,1,5,,2,,7
20170801,,1,1,,,,3,2,39,15,6,42,13,,,,11,23,,2,3,6,16,,,1,4,15,7,1,8,,2,26,,7,,2,,9
20170901,,1,1,,,,4,2,38,20,6,32,16,,,1,12,22,,2,4,6,19,,,1,7,16,9,1,7,1,3,30,,9,,2,,6
20171001,,1,1,,,,2,1,41,13,6,34,13,,,,15,21,,2,5,7,19,,,1,7,9,8,1,8,1,4,37,1,9,,2,,6
20171101,,1,1,,,,4,1,35,20,8,33,14,,,,13,11,,3,4,7,23,,,1,6,6,7,1,7,1,3,42,1,11,,2,,6
20171201,,,,,,,3,1,40,17,7,23,17,,,,10,11,,4,4,9,24,,,2,6,6,10,1,7,1,4,44,1,11,0,3,,6
20180101,,1,1,,,,3,1,50,16,8,18,17,,,,12,9,,3,4,10,25,,,1,6,4,7,1,5,,3,44,,8,,3,,6
20180201,,1,1,1,,,2,1,47,20,7,20,18,,,,9,8,,3,4,8,33,,,1,5,5,8,1,5,1,3,40,1,7,,4,0,9
20180301,,2,2,1,,,4,2,37,21,6,13,21,1,,,15,6,,2,4,8,33,,,2,6,6,10,1,6,1,4,46,,7,1,4,,7
20180401,,2,2,1,,,6,1,38,20,9,11,19,,,,12,5,,2,3,7,40,,,1,6,2,6,,5,,3,41,,8,,3,0,6
20180501,,1,1,1,,,4,1,41,22,7,10,17,1,,,11,4,,2,4,7,36,,,1,6,,7,0,3,1,3,43,,8,0,2,,8
20180601,,1,1,1,,,3,,55,25,8,9,19,1,,1,9,3,,2,2,9,26,,,2,5,1,8,-,6,,4,35,1,6,0,3,0,7
20180701,,,,,,,3,1,35,39,7,7,22,0,,,16,3,,2,3,8,30,,,2,6,1,9,,5,1,3,40,1,7,,3,,7
20180801,,1,1,1,,,4,2,35,27,6,10,22,,,,10,3,,3,2,7,37,,,2,8,1,13,,6,1,3,40,1,6,,3,,8
20180901,,,,,,,3,1,36,27,7,9,23,,,,11,3,,3,3,6,37,,,2,7,1,10,,5,1,3,38,1,6,,3,0,7
20181001,,1,1,,,,2,1,40,27,9,10,19,,,,10,5,,3,2,8,36,,,1,8,1,12,,5,1,4,36,,9,1,4,,8
20181101,,1,1,,,,7,2,37,36,11,14,22,,,1,8,7,,4,3,6,27,,,3,8,2,19,1,4,,3,25,,7,,2,,6
